#duplicate files:
#duplicate species:
#2 Anophryoides haemophila, Strain AH6
Acanthoeca_like-sp-10tr.nt	ACANTHOECA-LIKE SP., STRAIN 10TR	81532
Alexandrium-fundyense-CCMP1719.nt	ALEXANDRIUM-FUNDYENSE-CCMP1719	2932
Alexandrium-monilatum-CCMP3105.nt	ALEXANDRIUM MONILATUM, STRAIN CCMP3105	311494
Alexandrium-temarense-CCMP1771.nt	ALEXANDRIUM-TEMARENSE-CCMP1771	2926
Amphidinium-carterae-CCMP1314.nt	AMPHIDINIUM-CARTERAE-CCMP1314	2961
Amphiprora-sp.nt	AMPHIPRORA-SP	265536
Amphora-coffeaeformis-CCMP127.nt	AMPHORA-COFFEAEFORMIS-CCMP127	265554
Aplanochytrium-sp-PBS07.nt	APLANOCHYTRIUM SP, STRAIN PBS07	627963
Aplanochytrium-stocchinoi-GSBS06.nt	APLANOCHYTRIUM STOCCHINOI, STRAIN GSBS06	215587
Asterionellopsis-glacialis-CCMP134.nt	ASTERIONELLOPSIS GLACIALIS, STRAIN CCMP134	33640
Aurantiochytrium-limacinum-ATCCMYA1381.nt	AURANTIOCHYTRIUM-LIMACINUM-ATCCMYA1381	87120
Aureococcus-anophagefferens-CCMP1850.nt	AUREOCOCCUS-ANOPHAGEFFERENS-CCMP1850	44056
Aureoumbra-lagunensis-CCMP1510.nt	AUREOUMBRA-LAGUNENSIS-CCMP1510	44058
Azadinium-spinosum-3D9.nt	AZADINIUM-SPINOSUM-3D9	632150
Ceratium-fusus-PA161109.nt	CERATIUM FUSUS, STRAIN PA161109	2916
Chaetoceros-affinis-CCMP159.nt	CHAETOCEROS-AFFINIS-CCMP159	426623
Chaetoceros-curvisetus.nt	CHAETOCEROS-CURVISETUS	230516
Chaetoceros-debilis-MM31A_1.nt	CHAETOCEROS DEBILIS, STRAIN MM31A-1	122233
Chaetoceros-neogracile-CCMP1317.nt	CHAETOCEROS NEOGRACILE, STRAIN CCMP1317	240364
Chattonella-subsalsa-CCMP2191.nt	CHATTONELLA-SUBSALSA-CCMP2191	44440
Chrysochromulina-polylepis-CCMP1757.nt	CHRYSOCHROMULINA-POLYLEPIS-CCMP1757	72548
Corethron-pennatum-L29A3.nt	CORETHRON PENNATUM, STRAIN L29A3	218684
Crypthecodinium-cohnii-Seligo.nt	CRYPTHECODINIUM-COHNII-SELIGO	2866
Debaryomyces-hansenii-J26.nt	DEBARYOMYCES-HANSENII-J26	284592
Dinobryon-sp-UTEXLB2267.nt	DINOBRYON-SP-UTEXLB2267	98059
Ditylum-brightwellii-GSO103.nt	DITYLUM-BRIGHTWELLII-GSO103	49249
Ditylum-brightwellii-GSO104.nt	DITYLUM-BRIGHTWELLII-GSO104	49249
Ditylum-brightwellii-GSO105.nt	DITYLUM-BRIGHTWELLII-GSO105	49249
Dunaliella-tertiolecta-CCMP1320.nt	DUNALIELLA-TERTIOLECTA-CCMP1320	3047
Durinskia-baltica-CSIRO_CS-38.nt	DURINSKIA BALTICA, STRAIN CSIRO CS-38	400756
Emiliania-huxleyi-374.nt	EMILIANIA-HUXLEYI-374	2903
Emiliania-huxleyi-379.nt	EMILIANIA-HUXLEYI-379	2903
Emiliania-huxleyi-CCMP370.nt	EMILIANIA-HUXLEYI-CCMP370	2903
Emiliania-huxleyi-PLYM219.nt	EMILIANIA-HUXLEYI-PLYM219	2903
Euplotes-focardii-TN1.nt	EUPLOTES-FOCARDII-TN1	36767
Eutreptiella-gymnastica_like-CCMP1594.nt	EUTREPTIELLA GYMNASTICA-LIKE, STRAIN CCMP1594	73025
Extubocellulus-spinifer-CCMP396.nt	EXTUBOCELLULUS SPINIFER, STRAIN CCMP396	265572
Favella_taraikaensis_FeNarragansettBay.nt	FAVELLA TARAIKAENSIS, STRAIN FE NARRAGANSETT BAY	626734
Fragilariopsis-kerguelensis-L26_C5.nt	FRAGILARIOPSIS-KERGUELENSIS-L26_C5	186038
Fragilariopsis-kerguelensis-L2_C3.nt	FRAGILARIOPSIS KERGUELENSIS, STRAIN L2-C3	186038
Gephyrocapsa-oceanica-RCC1303.nt	GEPHYROCAPSA-OCEANICA-RCC1303	38817
Glenodinium-foliaceum-CCAP1116_3.nt	GLENODINIUM-FOLIACEUM-CCAP1116_3	160619
Gloeochaete-witrockiana-SAG46_84.nt	GLOEOCHAETE-WITROCKIANA-SAG46_84	38269
Goniomonas-pacifica-CCMP1869.nt	GONIOMONAS-PACIFICA-CCMP1869	195067
Heterosigma-akashiwo-CCMP2393.nt	HETEROSIGMA-AKASHIWO-CCMP2393	39354
Heterosigma-akashiwo-CCMP3107.nt	HETEROSIGMA-AKASHIWO-CCMP3107	536047
Heterosigma-akashiwo-CCMP452.nt	HETEROSIGMA-AKASHIWO-CCMP452	536046
Heterosigma-akashiwo-NB.nt	HETEROSIGMA AKASHIWO, STRAIN NB	536047
Isochrysis-galbana-CCMP1323.nt	ISOCHRYSIS-GALBANA-CCMP1323	37099
Isochrysis-sp-CCMP1244.nt	ISOCHRYSIS-SP-CCMP1244	37098
Isochrysis-sp-CCMP1324.nt	ISOCHRYSIS-SP-CCMP1324	40639
Karenia-brevis-CCMP2229.nt	KARENIA-BREVIS-CCMP2229	156230
Karenia-brevis-SP1.nt	KARENIA-BREVIS-SP1	156230
Karenia-brevis-SP3.nt	KARENIA-BREVIS-SP3	156230
Karenia-brevis-Wilson.nt	KARENIA-BREVIS-WILSON	156230
Karlodinium-micrum-CCMP2283.nt	KARLODINIUM MICRUM, STRAIN CCMP2283	342587
Kryptoperidinium-foliaceum-CCMP1326.nt	KRYPTOPERIDINIUM-FOLIACEUM-CCMP1326	160619
Lingulodinium-polyedra-CCMP1738.nt	LINGULODINIUM-POLYEDRA-CCMP1738	160621
Lotharella-globosa-CCCM811.nt	LOTHARELLA-GLOBOSA-CCCM811	91324
Micromonas-sp-CCMP2099.nt	MICROMONAS-SP-CCMP2099	38833
Micromonas-sp-NEPCC29.nt	MICROMONAS-SP-NEPCC29	38833
Micromonas-sp-RCC472.nt	MICROMONAS-SP-RCC472	38833
Nitzschia-punctata-CCMP561.nt	NITZSCHIA PUNCTATA, STRAIN CCMP561	913974
Ochromonas-sp-CCMP1393.nt	OCHROMONAS-SP-CCMP1393	420556
Oxyrrhis-marina-CCMP1795.nt	OXYRRHIS-MARINA-CCMP1795	2969
Oxyrrhis-marina-LB1974.nt	OXYRRHIS-MARINA-LB1974	2969
Oxyrrhis-marina.nt	OXYRRHIS-MARINA	2969
Paraphysomonas-imperforata-PA2.nt	PARAPHYSOMONAS-IMPERFORATA-PA2	37642
Pavlova-sp-CCMP459.nt	PAVLOVA-SP-CCMP459	298111
Pelagococcus-subviridis-CCMP1429.nt	PELAGOCOCCUS-SUBVIRIDIS-CCMP1429	35679
Pelagomonas-calceolata-CCMP1756.nt	PELAGOMONAS CALCEOLATA , STRAIN CCMP1756	35677
Peridinium-aciculiferum-PAER_2.nt	PERIDINIUM-ACICULIFERUM-PAER_2	268820
Perkinsus-chesapeaki-ATCC_PRA_65.nt	PERKINSUS-CHESAPEAKI-ATCC_PRA_65	321610
Perkinsus-marinus-ATCC50439.nt	PERKINSUS-MARINUS-ATCC50439	1032511
Picocystis-salinarum-CCMP1897.nt	PICOCYSTIS-SALINARUM-CCMP1897	88271
Pleurochrysis-carterae-CCMP645.nt	PLEUROCHRYSIS-CARTERAE-CCMP645	13221
Proboscia-alata-PI_D3.nt	PROBOSCIA ALATA, STRAIN PI-D3	216777
Prorocentrum-minimum-CCMP1329.nt	PROROCENTRUM-MINIMUM-CCMP1329	39449
Prorocentrum-minimum-CCMP2233.nt	PROROCENTRUM-MINIMUM-CCMP2233	39449
Prymnesium-parvum-Texoma1.nt	PRYMNESIUM-PARVUM-TEXOMA1	97485
Pseudo_nitzschia-australis-10249_10_AB.nt	PSEUDO-NITZSCHIA AUSTRALIS, STRAIN 10249 10 AB	44445
Pseudo_nitzschia-fradulenta-WWA7.nt	PSEUDO-NITZSCHIA FRAUDULENTA, STRAIN WWA7	183588
Pseudopedinella-elastica-CCMP716.nt	PSEUDOPEDINELLA-ELASTICA-CCMP716	35684
Pteridomonas-danica-PT.nt	PTERIDOMONAS-DANICA-PT	38822
Pyramimonas-parkeae-CCMP726.nt	PYRAMIMONAS-PARKEAE-CCMP726	36894
Rhodella-maculata-CCMP736.nt	RHODELLA-MACULATA-CCMP736	38298
Rhodomonas-sp-CCMP768.nt	RHODOMONAS-SP-CCMP768	302021
Schizochytrium-aggregatum-ATCC28209.nt	SCHIZOCHYTRIUM-AGGREGATUM-ATCC28209	4773
Scrippsiella-hangoei_like-SHHI_4.nt	SCRIPPSIELLA HANGOEI-LIKE, STRAIN SHHI-4	447022
Scrippsiella-hangoei-SHTV5.nt	SCRIPPSIELLA-HANGOEI-SHTV5	268821
Scrippsiella-trochoidea-CCMP3099.nt	SCRIPPSIELLA-TROCHOIDEA-CCMP3099	71861
Skeletonema-dohrnii-SkelB.nt	SKELETONEMA-DOHRNII-SKELB	267566
Skeletonema-marinoi-SkelA.nt	SKELETONEMA-MARINOI-SKELA	267567
Skeletonema-menzelii-CCMP793.nt	SKELETONEMA-MENZELII-CCMP793	216823
Symbiodinium-kawagutii-CCMP2468.nt	SYMBIODINIUM-KAWAGUTII-CCMP2468	104179
Symbiodinium-sp-C15.nt	SYMBIODINIUM-SP-C15	226949
Symbiodinium-sp-C1.nt	SYMBIODINIUM SP., STRAIN C1	226962
Symbiodinium-sp-CCMP2430.nt	SYMBIODINIUM-SP-CCMP2430	631057
Symbiodinium-sp-Mp.nt	SYMBIODINIUM-SP-MP	230996
Tetraselmis-striata-LANL1001.nt	TETRASELMIS STRIATA, STRAIN LANL1001	3165
Thalassionema-nitzschioides-L26_B.nt	THALASSIONEMA NITZSCHIOIDES, STRAIN L26-B	33649
Thalassiosira-antarctica-CCMP982.nt	THALASSIOSIRA ANTARCTICA, STRAIN CCMP982	420261
Thalassiosira-gravida-GMp14c1.nt	THALASSIOSIRA GRAVIDA, STRAIN GMP14C1	420259
Thalassiosira-miniscula-CCMP1093.nt	THALASSIOSIRA MINISCULA, STRAIN CCMP1093	385413
